Trajectory - Seconds: 8.89, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.45, Y: 2.28), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.44, Vel m/s: 0.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.55, Y: 2.28), Rotation2d(Rads: -0.02, Deg: -1.04)), Curvature: -0.35), 
State(Sec: 0.62, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.65, Y: 2.27), Rotation2d(Rads: -0.06, Deg: -3.70)), Curvature: -0.56), 
State(Sec: 0.77, Vel m/s: 0.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.75, Y: 2.26), Rotation2d(Rads: -0.13, Deg: -7.25)), Curvature: -0.61), 
State(Sec: 0.91, Vel m/s: 0.91, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.86, Y: 2.24), Rotation2d(Rads: -0.19, Deg: -11.06)), Curvature: -0.56), 
State(Sec: 1.03, Vel m/s: 1.03, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.98, Y: 2.22), Rotation2d(Rads: -0.26, Deg: -14.69)), Curvature: -0.47), 
State(Sec: 1.10, Vel m/s: 1.10, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.05, Y: 2.20), Rotation2d(Rads: -0.29, Deg: -16.36)), Curvature: -0.42), 
State(Sec: 1.16, Vel m/s: 1.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.11, Y: 2.18), Rotation2d(Rads: -0.31, Deg: -17.92)), Curvature: -0.37), 
State(Sec: 1.22, Vel m/s: 1.22, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.18, Y: 2.16), Rotation2d(Rads: -0.34, Deg: -19.36)), Curvature: -0.33), 
State(Sec: 1.28, Vel m/s: 1.28, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.25, Y: 2.13), Rotation2d(Rads: -0.36, Deg: -20.68)), Curvature: -0.29), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.32, Y: 2.10), Rotation2d(Rads: -0.38, Deg: -21.88)), Curvature: -0.25), 
State(Sec: 1.40, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.40, Y: 2.07), Rotation2d(Rads: -0.40, Deg: -22.97)), Curvature: -0.22), 
State(Sec: 1.46, Vel m/s: 1.46, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.48, Y: 2.04), Rotation2d(Rads: -0.42, Deg: -23.95)), Curvature: -0.19), 
State(Sec: 1.52, Vel m/s: 1.52, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.56, Y: 2.00), Rotation2d(Rads: -0.43, Deg: -24.83)), Curvature: -0.16), 
