Trajectory - Seconds: 6.18, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.30, Y: 3.78), Rotation2d(Rads: -1.46, Deg: -83.49)), Curvature: 0.00), 
State(Sec: 0.45, Vel m/s: 0.45, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.31, Y: 3.67), Rotation2d(Rads: -1.45, Deg: -83.28)), Curvature: 0.07), 
State(Sec: 0.60, Vel m/s: 0.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.32, Y: 3.60), Rotation2d(Rads: -1.45, Deg: -82.93)), Curvature: 0.08), 
State(Sec: 0.76, Vel m/s: 0.76, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.34, Y: 3.49), Rotation2d(Rads: -1.44, Deg: -82.48)), Curvature: 0.07), 
State(Sec: 0.84, Vel m/s: 0.84, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.34, Y: 3.43), Rotation2d(Rads: -1.43, Deg: -82.22)), Curvature: 0.07), 
State(Sec: 0.92, Vel m/s: 0.92, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.35, Y: 3.36), Rotation2d(Rads: -1.43, Deg: -81.92)), Curvature: 0.07), 
State(Sec: 0.99, Vel m/s: 0.99, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.36, Y: 3.29), Rotation2d(Rads: -1.42, Deg: -81.60)), Curvature: 0.08), 
State(Sec: 1.07, Vel m/s: 1.07, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.38, Y: 3.21), Rotation2d(Rads: -1.42, Deg: -81.24)), Curvature: 0.08), 
State(Sec: 1.15, Vel m/s: 1.15, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.39, Y: 3.12), Rotation2d(Rads: -1.41, Deg: -80.85)), Curvature: 0.08), 
State(Sec: 1.22, Vel m/s: 1.22, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.40, Y: 3.03), Rotation2d(Rads: -1.40, Deg: -80.41)), Curvature: 0.09), 
State(Sec: 1.30, Vel m/s: 1.30, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.42, Y: 2.94), Rotation2d(Rads: -1.39, Deg: -79.91)), Curvature: 0.10), 
State(Sec: 1.37, Vel m/s: 1.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.44, Y: 2.85), Rotation2d(Rads: -1.39, Deg: -79.36)), Curvature: 0.11), 
State(Sec: 1.44, Vel m/s: 1.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.46, Y: 2.75), Rotation2d(Rads: -1.37, Deg: -78.75)), Curvature: 0.12), 
State(Sec: 1.50, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.47, Y: 2.66), Rotation2d(Rads: -1.36, Deg: -78.05)), Curvature: 0.13), 
State(Sec: 1.57, Vel m/s: 1.57, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.50, Y: 2.57), Rotation2d(Rads: -1.35, Deg: -77.26)), Curvature: 0.15), 
State(Sec: 1.62, Vel m/s: 1.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.52, Y: 2.47), Rotation2d(Rads: -1.33, Deg: -76.36)), Curvature: 0.18), 
State(Sec: 1.68, Vel m/s: 1.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.54, Y: 2.38), Rotation2d(Rads: -1.31, Deg: -75.33)), Curvature: 0.21), 
