Trajectory - Seconds: 8.63, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.45, Y: 2.29), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.44, Vel m/s: 0.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.54, Y: 2.29), Rotation2d(Rads: -0.01, Deg: -0.55)), Curvature: -0.19), 
State(Sec: 0.62, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.64, Y: 2.29), Rotation2d(Rads: -0.03, Deg: -1.97)), Curvature: -0.30), 
State(Sec: 0.77, Vel m/s: 0.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.74, Y: 2.29), Rotation2d(Rads: -0.07, Deg: -3.90)), Curvature: -0.34), 
State(Sec: 0.90, Vel m/s: 0.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.85, Y: 2.28), Rotation2d(Rads: -0.10, Deg: -6.01)), Curvature: -0.32), 
State(Sec: 1.03, Vel m/s: 1.03, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.97, Y: 2.26), Rotation2d(Rads: -0.14, Deg: -8.08)), Curvature: -0.28), 
State(Sec: 1.09, Vel m/s: 1.09, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.03, Y: 2.25), Rotation2d(Rads: -0.16, Deg: -9.05)), Curvature: -0.26), 
State(Sec: 1.14, Vel m/s: 1.14, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.10, Y: 2.24), Rotation2d(Rads: -0.17, Deg: -9.97)), Curvature: -0.23), 
State(Sec: 1.20, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.16, Y: 2.23), Rotation2d(Rads: -0.19, Deg: -10.83)), Curvature: -0.21), 
State(Sec: 1.26, Vel m/s: 1.26, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.23, Y: 2.22), Rotation2d(Rads: -0.20, Deg: -11.63)), Curvature: -0.19), 
State(Sec: 1.31, Vel m/s: 1.31, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.30, Y: 2.20), Rotation2d(Rads: -0.22, Deg: -12.37)), Curvature: -0.17), 
State(Sec: 1.37, Vel m/s: 1.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.38, Y: 2.18), Rotation2d(Rads: -0.23, Deg: -13.04)), Curvature: -0.15), 
State(Sec: 1.43, Vel m/s: 1.43, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.45, Y: 2.17), Rotation2d(Rads: -0.24, Deg: -13.65)), Curvature: -0.13), 
State(Sec: 1.48, Vel m/s: 1.48, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.53, Y: 2.15), Rotation2d(Rads: -0.25, Deg: -14.20)), Curvature: -0.11), 
State(Sec: 1.53, Vel m/s: 1.53, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.61, Y: 2.13), Rotation2d(Rads: -0.26, Deg: -14.69)), Curvature: -0.10), 
State(Sec: 1.59, Vel m/s: 1.59, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.69, Y: 2.11), Rotation2d(Rads: -0.26, Deg: -15.13)), Curvature: -0.09), 
State(Sec: 1.64, Vel m/s: 1.64, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.77, Y: 2.08), Rotation2d(Rads: -0.27, Deg: -15.52)), Curvature: -0.07), 
State(Sec: 1.69, Vel m/s: 1.69, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.85, Y: 2.06), Rotation2d(Rads: -0.28, Deg: -15.86)), Curvature: -0.06), 
State(Sec: 1.74, Vel m/s: 1.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.94, Y: 2.04), Rotation2d(Rads: -0.28, Deg: -16.15)), Curvature: -0.05), 
State(Sec: 1.80, Vel m/s: 1.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.03, Y: 2.01), Rotation2d(Rads: -0.29, Deg: -16.39)), Curvature: -0.04), 
State(Sec: 1.85, Vel m/s: 1.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.11, Y: 1.98), Rotation2d(Rads: -0.29, Deg: -16.59)), Curvature: -0.03), 
State(Sec: 1.90, Vel m/s: 1.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.20, Y: 1.96), Rotation2d(Rads: -0.29, Deg: -16.74)), Curvature: -0.02), 
State(Sec: 1.94, Vel m/s: 1.94, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: 1.93), Rotation2d(Rads: -0.29, Deg: -16.85)), Curvature: -0.02), 
State(Sec: 1.99, Vel m/s: 1.99, Accel m/s/s: 0.14, Pose: Pose2d(Translation2d(X: 2.38, Y: 1.90), Rotation2d(Rads: -0.30, Deg: -16.92)), Curvature: -0.01), 
State(Sec: 2.04, Vel m/s: 2.00, Accel m/s/s: -0.07, Pose: Pose2d(Translation2d(X: 2.47, Y: 1.88), Rotation2d(Rads: -0.30, Deg: -16.95)), Curvature: -0.00), 
State(Sec: 2.09, Vel m/s: 2.00, Accel m/s/s: -0.11, Pose: Pose2d(Translation2d(X: 2.56, Y: 1.85), Rotation2d(Rads: -0.30, Deg: -16.94)), Curvature: 0.01), 
State(Sec: 2.13, Vel m/s: 1.99, Accel m/s/s: -0.11, Pose: Pose2d(Translation2d(X: 2.65, Y: 1.82), Rotation2d(Rads: -0.29, Deg: -16.88)), Curvature: 0.01), 
State(Sec: 2.18, Vel m/s: 1.99, Accel m/s/s: -0.12, Pose: Pose2d(Translation2d(X: 2.74, Y: 1.79), Rotation2d(Rads: -0.29, Deg: -16.78)), Curvature: 0.02), 
State(Sec: 2.23, Vel m/s: 1.98, Accel m/s/s: -0.12, Pose: Pose2d(Translation2d(X: 2.83, Y: 1.77), Rotation2d(Rads: -0.29, Deg: -16.64)), Curvature: 0.03), 
State(Sec: 2.28, Vel m/s: 1.97, Accel m/s/s: -0.14, Pose: Pose2d(Translation2d(X: 2.92, Y: 1.74), Rotation2d(Rads: -0.29, Deg: -16.45)), Curvature: 0.04), 
State(Sec: 2.32, Vel m/s: 1.97, Accel m/s/s: -0.15, Pose: Pose2d(Translation2d(X: 3.01, Y: 1.71), Rotation2d(Rads: -0.28, Deg: -16.22)), Curvature: 0.05), 
State(Sec: 2.37, Vel m/s: 1.96, Accel m/s/s: -0.17, Pose: Pose2d(Translation2d(X: 3.10, Y: 1.69), Rotation2d(Rads: -0.28, Deg: -15.93)), Curvature: 0.06), 
State(Sec: 2.41, Vel m/s: 1.95, Accel m/s/s: -0.19, Pose: Pose2d(Translation2d(X: 3.18, Y: 1.66), Rotation2d(Rads: -0.27, Deg: -15.59)), Curvature: 0.07), 
State(Sec: 2.46, Vel m/s: 1.94, Accel m/s/s: -0.22, Pose: Pose2d(Translation2d(X: 3.27, Y: 1.64), Rotation2d(Rads: -0.27, Deg: -15.19)), Curvature: 0.09), 
State(Sec: 2.50, Vel m/s: 1.94, Accel m/s/s: -0.25, Pose: Pose2d(Translation2d(X: 3.35, Y: 1.62), Rotation2d(Rads: -0.26, Deg: -14.72)), Curvature: 0.10), 
State(Sec: 2.55, Vel m/s: 1.92, Accel m/s/s: -0.29, Pose: Pose2d(Translation2d(X: 3.43, Y: 1.60), Rotation2d(Rads: -0.25, Deg: -14.19)), Curvature: 0.12), 
State(Sec: 2.59, Vel m/s: 1.91, Accel m/s/s: -0.63, Pose: Pose2d(Translation2d(X: 3.51, Y: 1.58), Rotation2d(Rads: -0.24, Deg: -13.59)), Curvature: 0.14), 
State(Sec: 2.63, Vel m/s: 1.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: 1.56), Rotation2d(Rads: -0.23, Deg: -12.90)), Curvature: 0.16), 
State(Sec: 2.67, Vel m/s: 1.85, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.66, Y: 1.54), Rotation2d(Rads: -0.21, Deg: -12.13)), Curvature: 0.19), 
State(Sec: 2.71, Vel m/s: 1.80, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: 1.53), Rotation2d(Rads: -0.20, Deg: -11.25)), Curvature: 0.22), 
State(Sec: 2.75, Vel m/s: 1.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.80, Y: 1.52), Rotation2d(Rads: -0.18, Deg: -10.26)), Curvature: 0.26), 
State(Sec: 2.79, Vel m/s: 1.73, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.87, Y: 1.50), Rotation2d(Rads: -0.16, Deg: -9.16)), Curvature: 0.31), 
State(Sec: 2.87, Vel m/s: 1.65, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.00, Y: 1.49), Rotation2d(Rads: -0.11, Deg: -6.52)), Curvature: 0.43), 
State(Sec: 2.94, Vel m/s: 1.58, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.11, Y: 1.48), Rotation2d(Rads: -0.06, Deg: -3.22)), Curvature: 0.59), 
State(Sec: 3.00, Vel m/s: 1.51, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.21, Y: 1.47), Rotation2d(Rads: 0.01, Deg: 0.85)), Curvature: 0.80), 
State(Sec: 3.07, Vel m/s: 1.45, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.30, Y: 1.48), Rotation2d(Rads: 0.10, Deg: 5.74)), Curvature: 1.06), 
State(Sec: 3.09, Vel m/s: 1.42, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.35, Y: 1.48), Rotation2d(Rads: 0.15, Deg: 8.48)), Curvature: 1.20), 
State(Sec: 3.12, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.39, Y: 1.49), Rotation2d(Rads: 0.20, Deg: 11.37)), Curvature: 1.32), 
State(Sec: 3.15, Vel m/s: 1.37, Accel m/s/s: -0.55, Pose: Pose2d(Translation2d(X: 4.42, Y: 1.50), Rotation2d(Rads: 0.25, Deg: 14.36)), Curvature: 1.42), 
