Trajectory - Seconds: 8.74, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.51, Y: 2.29), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.44, Vel m/s: 0.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.61, Y: 2.29), Rotation2d(Rads: 0.01, Deg: 0.44)), Curvature: 0.16), 
State(Sec: 0.62, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.70, Y: 2.29), Rotation2d(Rads: 0.03, Deg: 1.68)), Curvature: 0.30), 
State(Sec: 0.75, Vel m/s: 0.75, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.80, Y: 2.29), Rotation2d(Rads: 0.06, Deg: 3.58)), Curvature: 0.42), 
State(Sec: 0.86, Vel m/s: 0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.89, Y: 2.30), Rotation2d(Rads: 0.11, Deg: 6.06)), Curvature: 0.53), 
State(Sec: 0.96, Vel m/s: 0.96, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.98, Y: 2.31), Rotation2d(Rads: 0.16, Deg: 9.02)), Curvature: 0.62), 
State(Sec: 1.05, Vel m/s: 1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.06, Y: 2.33), Rotation2d(Rads: 0.22, Deg: 12.35)), Curvature: 0.71), 
State(Sec: 1.13, Vel m/s: 1.13, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.15, Y: 2.35), Rotation2d(Rads: 0.28, Deg: 15.96)), Curvature: 0.77), 
State(Sec: 1.20, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.22, Y: 2.38), Rotation2d(Rads: 0.34, Deg: 19.72)), Curvature: 0.81), 
State(Sec: 1.27, Vel m/s: 1.27, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.30, Y: 2.41), Rotation2d(Rads: 0.41, Deg: 23.54)), Curvature: 0.82), 
State(Sec: 1.33, Vel m/s: 1.33, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.37, Y: 2.44), Rotation2d(Rads: 0.48, Deg: 27.28)), Curvature: 0.81), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.44, Y: 2.48), Rotation2d(Rads: 0.54, Deg: 30.85)), Curvature: 0.77), 
State(Sec: 1.44, Vel m/s: 1.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.51, Y: 2.52), Rotation2d(Rads: 0.60, Deg: 34.16)), Curvature: 0.72), 
State(Sec: 1.49, Vel m/s: 1.49, Accel m/s/s: 0.48, Pose: Pose2d(Translation2d(X: 1.57, Y: 2.56), Rotation2d(Rads: 0.65, Deg: 37.13)), Curvature: 0.65), 
State(Sec: 1.54, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.63, Y: 2.61), Rotation2d(Rads: 0.69, Deg: 39.72)), Curvature: 0.56), 
State(Sec: 1.59, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.68, Y: 2.66), Rotation2d(Rads: 0.73, Deg: 41.87)), Curvature: 0.46), 
State(Sec: 1.64, Vel m/s: 1.42, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.73, Y: 2.71), Rotation2d(Rads: 0.76, Deg: 43.54)), Curvature: 0.36), 
