Trajectory - Seconds: 15.26, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.81, Y: 0.66), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.44, Vel m/s: 0.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.91, Y: 0.66), Rotation2d(Rads: 0.00, Deg: 0.17)), Curvature: 0.06), 
State(Sec: 0.62, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: 0.66), Rotation2d(Rads: 0.01, Deg: 0.64)), Curvature: 0.11), 
State(Sec: 0.75, Vel m/s: 0.75, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.10, Y: 0.67), Rotation2d(Rads: 0.02, Deg: 1.38)), Curvature: 0.17), 
State(Sec: 0.86, Vel m/s: 0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.19, Y: 0.67), Rotation2d(Rads: 0.04, Deg: 2.38)), Curvature: 0.22), 
State(Sec: 0.96, Vel m/s: 0.96, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.27, Y: 0.67), Rotation2d(Rads: 0.06, Deg: 3.63)), Curvature: 0.28), 
State(Sec: 1.04, Vel m/s: 1.04, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.36, Y: 0.68), Rotation2d(Rads: 0.09, Deg: 5.11)), Curvature: 0.34), 
State(Sec: 1.12, Vel m/s: 1.12, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.44, Y: 0.69), Rotation2d(Rads: 0.12, Deg: 6.84)), Curvature: 0.41), 
State(Sec: 1.18, Vel m/s: 1.18, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.51, Y: 0.70), Rotation2d(Rads: 0.15, Deg: 8.80)), Curvature: 0.49), 
State(Sec: 1.24, Vel m/s: 1.24, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.58, Y: 0.71), Rotation2d(Rads: 0.19, Deg: 10.99)), Curvature: 0.57), 
State(Sec: 1.30, Vel m/s: 1.30, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.65, Y: 0.72), Rotation2d(Rads: 0.23, Deg: 13.43)), Curvature: 0.67), 
State(Sec: 1.35, Vel m/s: 1.35, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.71, Y: 0.74), Rotation2d(Rads: 0.28, Deg: 16.10)), Curvature: 0.78), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.77, Y: 0.76), Rotation2d(Rads: 0.33, Deg: 19.00)), Curvature: 0.89), 
State(Sec: 1.43, Vel m/s: 1.43, Accel m/s/s: 0.53, Pose: Pose2d(Translation2d(X: 1.83, Y: 0.78), Rotation2d(Rads: 0.39, Deg: 22.11)), Curvature: 1.01), 
State(Sec: 1.47, Vel m/s: 1.45, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.87, Y: 0.80), Rotation2d(Rads: 0.44, Deg: 25.40)), Curvature: 1.14), 
State(Sec: 1.50, Vel m/s: 1.42, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.92, Y: 0.82), Rotation2d(Rads: 0.50, Deg: 28.83)), Curvature: 1.26), 
State(Sec: 1.54, Vel m/s: 1.38, Accel m/s/s: -0.85, Pose: Pose2d(Translation2d(X: 1.96, Y: 0.85), Rotation2d(Rads: 0.56, Deg: 32.37)), Curvature: 1.37), 
State(Sec: 1.57, Vel m/s: 1.35, Accel m/s/s: -0.60, Pose: Pose2d(Translation2d(X: 2.00, Y: 0.87), Rotation2d(Rads: 0.63, Deg: 35.94)), Curvature: 1.46), 
State(Sec: 1.60, Vel m/s: 1.34, Accel m/s/s: -0.27, Pose: Pose2d(Translation2d(X: 2.03, Y: 0.90), Rotation2d(Rads: 0.69, Deg: 39.48)), Curvature: 1.52), 
State(Sec: 1.63, Vel m/s: 1.33, Accel m/s/s: 0.14, Pose: Pose2d(Translation2d(X: 2.06, Y: 0.92), Rotation2d(Rads: 0.75, Deg: 42.93)), Curvature: 1.55), 
State(Sec: 1.66, Vel m/s: 1.33, Accel m/s/s: 0.65, Pose: Pose2d(Translation2d(X: 2.09, Y: 0.95), Rotation2d(Rads: 0.81, Deg: 46.19)), Curvature: 1.53), 
State(Sec: 1.68, Vel m/s: 1.35, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.11, Y: 0.98), Rotation2d(Rads: 0.86, Deg: 49.21)), Curvature: 1.48), 
State(Sec: 1.71, Vel m/s: 1.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.13, Y: 1.00), Rotation2d(Rads: 0.91, Deg: 51.91)), Curvature: 1.37), 
State(Sec: 1.75, Vel m/s: 1.42, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.17, Y: 1.05), Rotation2d(Rads: 0.98, Deg: 56.18)), Curvature: 1.03), 
