Trajectory - Seconds: 6.78, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 3.80), Rotation2d(Rads: -1.53, Deg: -87.83)), Curvature: 0.00), 
State(Sec: 0.42, Vel m/s: 0.42, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 3.71), Rotation2d(Rads: -1.54, Deg: -88.39)), Curvature: 0.00), 
State(Sec: 0.60, Vel m/s: 0.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 3.62), Rotation2d(Rads: -1.54, Deg: -88.26)), Curvature: 0.04), 
State(Sec: 0.70, Vel m/s: 0.70, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.60, Y: 3.55), Rotation2d(Rads: -1.54, Deg: -88.12)), Curvature: 0.04), 
State(Sec: 0.80, Vel m/s: 0.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.60, Y: 3.48), Rotation2d(Rads: -1.53, Deg: -87.94)), Curvature: 0.04), 
State(Sec: 0.90, Vel m/s: 0.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.60, Y: 3.40), Rotation2d(Rads: -1.53, Deg: -87.73)), Curvature: 0.04), 
State(Sec: 1.00, Vel m/s: 1.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.61, Y: 3.30), Rotation2d(Rads: -1.53, Deg: -87.49)), Curvature: 0.05), 
State(Sec: 1.10, Vel m/s: 1.10, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.61, Y: 3.20), Rotation2d(Rads: -1.52, Deg: -87.21)), Curvature: 0.05), 
State(Sec: 1.20, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.62, Y: 3.08), Rotation2d(Rads: -1.52, Deg: -86.90)), Curvature: 0.05), 
State(Sec: 1.29, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.62, Y: 2.96), Rotation2d(Rads: -1.51, Deg: -86.54)), Curvature: 0.05), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.63, Y: 2.90), Rotation2d(Rads: -1.51, Deg: -86.34)), Curvature: 0.06), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.63, Y: 2.83), Rotation2d(Rads: -1.50, Deg: -86.13)), Curvature: 0.06), 
State(Sec: 1.44, Vel m/s: 1.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.64, Y: 2.77), Rotation2d(Rads: -1.50, Deg: -85.91)), Curvature: 0.06), 
State(Sec: 1.48, Vel m/s: 1.48, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.64, Y: 2.70), Rotation2d(Rads: -1.50, Deg: -85.66)), Curvature: 0.07), 
State(Sec: 1.53, Vel m/s: 1.53, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.65, Y: 2.64), Rotation2d(Rads: -1.49, Deg: -85.41)), Curvature: 0.07), 
State(Sec: 1.57, Vel m/s: 1.57, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.65, Y: 2.57), Rotation2d(Rads: -1.49, Deg: -85.13)), Curvature: 0.07), 
State(Sec: 1.61, Vel m/s: 1.61, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.66, Y: 2.50), Rotation2d(Rads: -1.48, Deg: -84.83)), Curvature: 0.08), 
State(Sec: 1.65, Vel m/s: 1.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.66, Y: 2.43), Rotation2d(Rads: -1.47, Deg: -84.51)), Curvature: 0.09), 
State(Sec: 1.69, Vel m/s: 1.69, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.67, Y: 2.37), Rotation2d(Rads: -1.47, Deg: -84.16)), Curvature: 0.09), 
State(Sec: 1.73, Vel m/s: 1.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.68, Y: 2.30), Rotation2d(Rads: -1.46, Deg: -83.79)), Curvature: 0.10), 
State(Sec: 1.77, Vel m/s: 1.77, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.69, Y: 2.23), Rotation2d(Rads: -1.46, Deg: -83.39)), Curvature: 0.11), 
State(Sec: 1.81, Vel m/s: 1.81, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.69, Y: 2.17), Rotation2d(Rads: -1.45, Deg: -82.95)), Curvature: 0.12), 
State(Sec: 1.84, Vel m/s: 1.84, Accel m/s/s: -0.06, Pose: Pose2d(Translation2d(X: 4.70, Y: 2.11), Rotation2d(Rads: -1.44, Deg: -82.47)), Curvature: 0.13), 
State(Sec: 1.88, Vel m/s: 1.84, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.71, Y: 2.04), Rotation2d(Rads: -1.43, Deg: -81.95)), Curvature: 0.15), 
State(Sec: 1.95, Vel m/s: 1.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.73, Y: 1.92), Rotation2d(Rads: -1.41, Deg: -80.77)), Curvature: 0.19), 
State(Sec: 2.01, Vel m/s: 1.71, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.75, Y: 1.81), Rotation2d(Rads: -1.38, Deg: -79.35)), Curvature: 0.24), 
State(Sec: 2.08, Vel m/s: 1.64, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.77, Y: 1.70), Rotation2d(Rads: -1.35, Deg: -77.63)), Curvature: 0.32), 
State(Sec: 2.14, Vel m/s: 1.58, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.79, Y: 1.60), Rotation2d(Rads: -1.32, Deg: -75.54)), Curvature: 0.42), 
State(Sec: 2.20, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.82, Y: 1.51), Rotation2d(Rads: -1.27, Deg: -72.98)), Curvature: 0.57), 
State(Sec: 2.25, Vel m/s: 1.46, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.84, Y: 1.44), Rotation2d(Rads: -1.22, Deg: -69.85)), Curvature: 0.77), 
State(Sec: 2.30, Vel m/s: 1.41, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.87, Y: 1.37), Rotation2d(Rads: -1.15, Deg: -66.09)), Curvature: 1.04), 
State(Sec: 2.35, Vel m/s: 1.37, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.90, Y: 1.31), Rotation2d(Rads: -1.08, Deg: -61.69)), Curvature: 1.33), 
State(Sec: 2.39, Vel m/s: 1.32, Accel m/s/s: 0.25, Pose: Pose2d(Translation2d(X: 4.93, Y: 1.26), Rotation2d(Rads: -0.99, Deg: -56.86)), Curvature: 1.56), 
State(Sec: 2.43, Vel m/s: 1.33, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.96, Y: 1.22), Rotation2d(Rads: -0.91, Deg: -52.16)), Curvature: 1.53), 
State(Sec: 2.47, Vel m/s: 1.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.99, Y: 1.18), Rotation2d(Rads: -0.85, Deg: -48.52)), Curvature: 1.02), 
State(Sec: 2.50, Vel m/s: 1.40, Accel m/s/s: 0.12, Pose: Pose2d(Translation2d(X: 5.02, Y: 1.15), Rotation2d(Rads: -0.82, Deg: -47.07)), Curvature: -0.00), 
State(Sec: 2.57, Vel m/s: 1.41, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.09, Y: 1.08), Rotation2d(Rads: -0.77, Deg: -44.36)), Curvature: 0.96), 
State(Sec: 2.60, Vel m/s: 1.38, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.12, Y: 1.05), Rotation2d(Rads: -0.72, Deg: -41.37)), Curvature: 1.28), 
State(Sec: 2.63, Vel m/s: 1.34, Accel m/s/s: -0.85, Pose: Pose2d(Translation2d(X: 5.15, Y: 1.02), Rotation2d(Rads: -0.66, Deg: -37.64)), Curvature: 1.49), 
State(Sec: 2.67, Vel m/s: 1.31, Accel m/s/s: -0.08, Pose: Pose2d(Translation2d(X: 5.19, Y: 0.99), Rotation2d(Rads: -0.58, Deg: -33.44)), Curvature: 1.60), 
State(Sec: 2.71, Vel m/s: 1.31, Accel m/s/s: 0.48, Pose: Pose2d(Translation2d(X: 5.23, Y: 0.97), Rotation2d(Rads: -0.51, Deg: -29.00)), Curvature: 1.61), 
State(Sec: 2.74, Vel m/s: 1.33, Accel m/s/s: 0.87, Pose: Pose2d(Translation2d(X: 5.28, Y: 0.95), Rotation2d(Rads: -0.43, Deg: -24.54)), Curvature: 1.54), 
State(Sec: 2.78, Vel m/s: 1.36, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.32, Y: 0.93), Rotation2d(Rads: -0.35, Deg: -20.21)), Curvature: 1.43), 
State(Sec: 2.82, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.37, Y: 0.91), Rotation2d(Rads: -0.28, Deg: -16.12)), Curvature: 1.30), 
State(Sec: 2.86, Vel m/s: 1.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 5.43, Y: 0.90), Rotation2d(Rads: -0.22, Deg: -12.34)), Curvature: 1.16), 
State(Sec: 2.89, Vel m/s: 1.48, Accel m/s/s: 0.95, Pose: Pose2d(Translation2d(X: 5.48, Y: 0.89), Rotation2d(Rads: -0.16, Deg: -8.88)), Curvature: 1.02), 
State(Sec: 2.93, Vel m/s: 1.51, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.54, Y: 0.88), Rotation2d(Rads: -0.10, Deg: -5.75)), Curvature: 0.90), 
State(Sec: 2.97, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.60, Y: 0.87), Rotation2d(Rads: -0.05, Deg: -2.93)), Curvature: 0.80), 
State(Sec: 3.01, Vel m/s: 1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.65, Y: 0.87), Rotation2d(Rads: -0.01, Deg: -0.38)), Curvature: 0.71), 
State(Sec: 3.10, Vel m/s: 1.35, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.77, Y: 0.88), Rotation2d(Rads: 0.07, Deg: 4.00)), Curvature: 0.58), 
State(Sec: 3.19, Vel m/s: 1.26, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 5.89, Y: 0.89), Rotation2d(Rads: 0.13, Deg: 7.65)), Curvature: 0.50), 
