Trajectory - Seconds: 17.97, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.25, Y: 2.11), Rotation2d(Rads: 0.62, Deg: 35.42)), Curvature: 0.00), 
State(Sec: 0.22, Vel m/s: 0.22, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.27, Y: 2.12), Rotation2d(Rads: 0.58, Deg: 33.17)), Curvature: -2.69), 
State(Sec: 0.32, Vel m/s: 0.32, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.29, Y: 2.14), Rotation2d(Rads: 0.50, Deg: 28.47)), Curvature: -2.94), 
State(Sec: 0.41, Vel m/s: 0.41, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.32, Y: 2.15), Rotation2d(Rads: 0.41, Deg: 23.75)), Curvature: -2.17), 
State(Sec: 0.49, Vel m/s: 0.49, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.35, Y: 2.16), Rotation2d(Rads: 0.35, Deg: 19.92)), Curvature: -1.43), 
State(Sec: 0.65, Vel m/s: 0.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.44, Y: 2.19), Rotation2d(Rads: 0.26, Deg: 14.98)), Curvature: -0.61), 
State(Sec: 0.80, Vel m/s: 0.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.55, Y: 2.22), Rotation2d(Rads: 0.22, Deg: 12.44)), Curvature: -0.27), 
State(Sec: 0.93, Vel m/s: 0.93, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.65, Y: 2.24), Rotation2d(Rads: 0.20, Deg: 11.34)), Curvature: -0.09), 
State(Sec: 1.03, Vel m/s: 1.03, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.75, Y: 2.26), Rotation2d(Rads: 0.20, Deg: 11.37)), Curvature: 0.12), 
State(Sec: 1.10, Vel m/s: 1.10, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.83, Y: 2.27), Rotation2d(Rads: 0.22, Deg: 12.51)), Curvature: 0.40), 
State(Sec: 1.16, Vel m/s: 1.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.89, Y: 2.29), Rotation2d(Rads: 0.24, Deg: 13.69)), Curvature: 0.00), 
State(Sec: 1.21, Vel m/s: 1.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.95, Y: 2.30), Rotation2d(Rads: 0.23, Deg: 13.24)), Curvature: -0.16), 
State(Sec: 1.29, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.04, Y: 2.32), Rotation2d(Rads: 0.22, Deg: 12.52)), Curvature: -0.11), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.11, Y: 2.34), Rotation2d(Rads: 0.21, Deg: 12.14)), Curvature: -0.10), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.18, Y: 2.35), Rotation2d(Rads: 0.20, Deg: 11.73)), Curvature: -0.10), 
State(Sec: 1.45, Vel m/s: 1.45, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.25, Y: 2.37), Rotation2d(Rads: 0.20, Deg: 11.27)), Curvature: -0.11), 
State(Sec: 1.50, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.33, Y: 2.38), Rotation2d(Rads: 0.19, Deg: 10.72)), Curvature: -0.13), 
