Trajectory - Seconds: 9.20, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.45, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.44, Vel m/s: 0.44, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.54, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.62, Vel m/s: 0.62, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.64, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.02)), Curvature: 0.00), 
State(Sec: 0.75, Vel m/s: 0.75, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.73, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.04)), Curvature: 0.00), 
State(Sec: 0.87, Vel m/s: 0.87, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.82, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.06)), Curvature: 0.01), 
State(Sec: 0.97, Vel m/s: 0.97, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.91, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.10)), Curvature: 0.01), 
State(Sec: 1.06, Vel m/s: 1.06, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.13)), Curvature: 0.01), 
State(Sec: 1.14, Vel m/s: 1.14, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.09, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.17)), Curvature: 0.01), 
State(Sec: 1.21, Vel m/s: 1.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.18, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.21)), Curvature: 0.01), 
State(Sec: 1.28, Vel m/s: 1.28, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.26, Y: 2.31), Rotation2d(Rads: 0.00, Deg: 0.25)), Curvature: 0.01), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.34, Y: 2.31), Rotation2d(Rads: 0.01, Deg: 0.30)), Curvature: 0.01), 
State(Sec: 1.40, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.42, Y: 2.31), Rotation2d(Rads: 0.01, Deg: 0.35)), Curvature: 0.01), 
State(Sec: 1.45, Vel m/s: 1.45, Accel m/s/s: 0.60, Pose: Pose2d(Translation2d(X: 1.50, Y: 2.31), Rotation2d(Rads: 0.01, Deg: 0.39)), Curvature: 0.01), 
State(Sec: 1.50, Vel m/s: 1.48, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.57, Y: 2.31), Rotation2d(Rads: 0.01, Deg: 0.44)), Curvature: 0.01), 
